case_id,stage,condition_id,condition_label,range_class,rationale,speed_rpm,iq_ref_A,id_ref_A,Vdc_V,controller_Lq_factor,steps,Jd_limit_A2,Jq_limit_A2,Jd_error_limit_A,Jq_error_limit_A,refinement_basis,is_default,completed_steps,id_steady_bias_A,iq_steady_bias_A,rmse_d_A,rmse_q_A,id_ripple_pp_A,iq_ripple_pp_A,id_peak_error_A,iq_peak_error_A,phase_a_thd,phase_b_thd,phase_c_thd,three_phase_thd_mean,thd_valid,thd_status,thd_window_cycles,thd_window_samples,thd_fundamental_rms_A,source_phase_a_thd,mean_torque_Nm,mean_torque_full_Nm,torque_peak_to_peak_Nm,torque_std_Nm,torque_std_full_Nm,torque_ripple_ratio,torque_ripple_status,total_switching_actions,average_switching_frequency_Hz,single_vector_ratio,double_vector_ratio,three_vector_ratio,zero_vector_dwell_ratio,mean_control_compute_time_s,max_control_compute_time_s,compute_deadline_miss_count,actual_Jd_mean_A2,actual_Jq_mean_A2,actual_Jd_max_A2,actual_Jq_max_A2,Jd_violation_ratio,Jq_violation_ratio,Jd_satisfaction_ratio,Jq_satisfaction_ratio,both_constraints_satisfied_ratio,mean_rectangle_area_V2,min_rectangle_corner_hex_margin_V,mean_rectangle_corner_inside_fraction,mean_voltage_utilization,max_voltage_utilization,voltage_saturation_ratio,illegal_command_count,mean_voltage_realization_error_V,max_voltage_realization_error_V,negative_duration_count,duration_sum_anomaly_count,nan_count,inf_count,current_limit_exceed_count,early_termination,diverged,simulation_stable,case_success,failure_identifier,failure_message,current_ripple_norm_A,numerically_feasible,unsaturated_feasible,core_feasible,pareto,pareto_three_objective,mode_change_L1_vs_default
A_C09_010,coarse_scan,C09,low_voltage_nominal_speed,reasonable_extension_range,"0.9 p.u. of source 48 V engineering assumption",100,10,0,43.2,1,1551,0.04,0.16,0.2,0.4,coarse amplitude grid,0,1551,0.0216038970521649,-0.198521710014862,0.130051992428149,0.283513645713002,0.398348563726028,0.759646318403556,0.202957843377283,0.96094209764132,0.0222814984692867,0.0230582600903897,0.0229450816245867,0.0227616133947544,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,6.92489688819512,0.206864263328215,4.76197620220645,4.67694200084776,0.367148977676483,0.0880966897163886,0.536268343568903,0.0771001286202073,valid,3936,8459.05867182463,0.194068343004513,0.631205673758865,0.174725983236622,0.821708968421258,0.000160515151515152,0.0008799,1341,0.0169330470225873,0.0726631440308431,0.0390888514360229,0.15937158727761,0,0,1,1,1,30.7199999999998,7.55982008073916,1,0.178291031578742,0.502528193954334,0,0,6.3488141696858e-16,4.44089209850063e-15,0,0,0,0,0,0,0,1,1,,,0.857755272374741,1,1,1,1,1,0.335267569310123
A_C09_011,coarse_scan,C09,low_voltage_nominal_speed,reasonable_extension_range,"0.9 p.u. of source 48 V engineering assumption",100,10,0,43.2,1,1551,0.04,0.64,0.2,0.8,coarse amplitude grid,0,1551,0.0410385901607736,-0.38551406231874,0.125462665972431,0.535140567754214,0.423580952365814,1.5646513254969,0.213562799467773,1.19501718480208,0.0358685160139757,0.0373064757570885,0.0372512811259338,0.0368087576323327,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,6.7950779606295,0.209829025771207,4.66973826645757,4.58432491611628,0.757363849605589,0.170645277838914,0.558680611829059,0.162185502996107,valid,3326,7148.07650977864,0.266279819471309,0.604126370083817,0.129593810444874,0.812859122609874,0.000147811218568665,0.0007524,1408,0.0151575038816974,0.274468169318515,0.039737857349129,0.63822186408565,0,0,1,1,1,61.4399999999997,-0.202634580207075,0.999838813668601,0.187140877390126,0.708118494565772,0,0,7.07298664394892e-16,6.40474566797875e-15,0,0,0,0,0,0,0,1,1,,,1.62097334758667,1,1,1,0,0,0.372662798194713
A_C09_012,coarse_scan,C09,low_voltage_nominal_speed,reasonable_extension_range,"0.9 p.u. of source 48 V engineering assumption",100,10,0,43.2,1,1551,0.04,1,0.2,1,coarse amplitude grid,0,1551,0.0353355154342223,-0.498239837103188,0.126989561888425,0.6913983520449,0.407979079980941,2.09383838567461,0.210457117330703,1.40244665205623,0.0500664499558709,0.0489300562410224,0.0503553728824635,0.0497839596931189,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,6.71197974367707,0.213527237618304,4.61532663979183,4.52849034334618,1.0003319035761,0.220915099233739,0.579718502582833,0.216741301677669,valid,3452,7418.86954652912,0.236621534493875,0.689877498388137,0.0735009671179884,0.816232334627488,0.000130870599613153,0.0006169,1397,0.015942688839529,0.459927814628839,0.0399247112747403,0.997797649611907,0,0,1,1,1,76.7999999999995,-4.9979687678904,0.807704706640877,0.183767665372512,0.93334172891771,0,0,7.73707261200045e-16,1.28094913359575e-14,0,0,0,0,0,0,0,1,1,,,2.13321497159254,1,1,1,0,0,0.201160541586073
A_C09_013,coarse_scan,C09,low_voltage_nominal_speed,reasonable_extension_range,"0.9 p.u. of source 48 V engineering assumption",100,10,0,43.2,1,1551,0.16,0,0.4,0,coarse amplitude grid,0,1551,0.0393264341722802,-0.000139551129807292,0.207455179992764,0.076485748581405,0.79247757253197,0.212099115247891,0.397394448562232,0.96094209764132,0.0193101332530019,0.0192559339004952,0.0179220799517694,0.0188293823684221,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,7.0678738880108,0.206589492994092,4.85710134537356,4.77075412982389,0.129587439026237,0.0151329041327958,0.535798516005491,0.0266799948800061,valid,4712,10126.799914034,0.000644745325596389,0.932301740812379,0.0670535138620245,0.822043042486387,0.000173205415860735,0.0010878,1518,0.0432900604351004,9.47615707367735e-16,0.158878243741995,3.6371731268594e-14,0,0.000644745325596389,1,0.999355254674404,0.999355254674404,0,12.3071943559697,1,0.177956957513613,0.502528193954334,0,0,8.6147802410787e-16,3.97205464519564e-15,0,0,0,0,0,0,0,1,1,,,0.820369878563994,1,1,1,0,1,0.40361057382334
A_C09_014,coarse_scan,C09,low_voltage_nominal_speed,reasonable_extension_range,"0.9 p.u. of source 48 V engineering assumption",100,10,0,43.2,1,1551,0.16,0.0225,0.4,0.15,coarse amplitude grid,0,1551,-0.00596398363854763,-0.0266176496281333,0.231492158235699,0.0964016011135225,0.795825431103092,0.430120468114396,0.398836272187329,0.96094209764132,0.0240870174806511,0.0235437604481699,0.0235458627844259,0.0237255469044156,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,7.04879110645032,0.208671123549402,4.84746588771863,4.76122604756903,0.160860842013624,0.0245606393632664,0.535934099894102,0.0331845227464468,valid,4416,9490.65119277885,0.000644745325596389,0.989039329464861,0.0103159252095422,0.819814309616672,0.000153898452611219,0.000684,1547,0.0540109601717959,0.00311788552916056,0.159385954016007,0.0221866085933477,0,0,1,1,1,23.04,10.5080825473114,1,0.180185690383328,0.502528193954334,0,0,8.95622453499541e-16,3.20237283398938e-15,0,0,0,0,0,0,0,1,1,,,0.904622426143288,1,1,1,0,1,0.403610573823339
A_C09_015,coarse_scan,C09,low_voltage_nominal_speed,reasonable_extension_range,"0.9 p.u. of source 48 V engineering assumption",100,10,0,43.2,1,1551,0.16,0.04,0.4,0.2,coarse amplitude grid,0,1551,0.0107334155036978,-0.0435709897719454,0.233706244006292,0.116795683491752,0.803032514606452,0.534250607171414,0.401735005956641,0.96094209764132,0.0253715885716537,0.0237241236947517,0.0246744583961648,0.0245900568875234,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,7.03342599868267,0.209028415252696,4.83802156560633,4.75193664478965,0.257794707690715,0.0347790779768076,0.535967942156717,0.0532851505920078,valid,4300,9241.34966688158,0.000644745325596389,0.99097356544165,0.00838168923275306,0.818332015306004,0.000151021276595745,0.0007266,1551,0.0550966131817048,0.00718755285887827,0.159866931011313,0.0399220672882112,0,0,1,1,1,30.7199999999998,9.90837861109192,1,0.181667984693996,0.502528193954334,0,0,9.12363552688387e-16,3.23301824835221e-15,0,0,0,0,0,0,0,1,1,,,0.964512794512435,1,1,1,0,1,0.403610573823339
A_C09_016,coarse_scan,C09,low_voltage_nominal_speed,reasonable_extension_range,"0.9 p.u. of source 48 V engineering assumption",100,10,0,43.2,1,1551,0.16,0.16,0.4,0.4,coarse amplitude grid,1,1551,0.0183149366403343,-0.186635024181422,0.230578349879977,0.25794200891877,0.804333517617818,0.896606632657704,0.402554162058,0.96094209764132,0.028002764577918,0.0284063038746508,0.0278154431499966,0.0280748372008552,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,6.92918022650229,0.207718422666057,4.76796181615157,4.6830745320467,0.3888031793931,0.0752245764934447,0.535314534627665,0.0815449440211583,valid,3446,7405.97464001719,0.202450032237266,0.790457769181173,0.00709219858156028,0.821498175515749,0.000126097356544165,0.0007463,1414,0.0531638394425866,0.0592115525616442,0.15894826560212,0.158470420835606,0,0,1,1,1,61.4399999999997,7.50956286621416,1,0.178501824484252,0.502528193954334,0,0,8.74535393398289e-16,4.78298716822545e-15,0,0,0,0,0,0,0,1,1,,,1.20451478251171,1,1,1,1,1,0
A_C09_017,coarse_scan,C09,low_voltage_nominal_speed,reasonable_extension_range,"0.9 p.u. of source 48 V engineering assumption",100,10,0,43.2,1,1551,0.16,0.64,0.4,0.8,coarse amplitude grid,0,1551,0.0396293733000365,-0.450109624375711,0.225638194754471,0.547755095080926,0.817184704942582,1.41848998807433,0.410245236439864,1.18476709742816,0.037996269587724,0.0373983545319658,0.0368158057137427,0.0374034766111442,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,6.74707472785285,0.209817481285056,4.63842106003595,4.55207688731646,0.681301734005699,0.134461826614338,0.553520625001569,0.146882252643191,valid,3092,6645.17515581345,0.273372018052869,0.725983236621535,0.000644745325596389,0.820649273168462,0.000126981624758221,0.0005218,1365,0.0504189387455238,0.283081870527082,0.159156712093343,0.639130423272388,0,0,1,1,1,122.879999999999,-1.42111260969842,0.999516441005803,0.179350726831538,0.652930374119767,0,0,9.12445323714042e-16,7.94410929039127e-15,0,0,0,0,0,0,0,1,1,,,1.63704144365963,1,1,1,0,0,0.141843971631205
A_C09_018,coarse_scan,C09,low_voltage_nominal_speed,reasonable_extension_range,"0.9 p.u. of source 48 V engineering assumption",100,10,0,43.2,1,1551,0.16,1,0.4,1,coarse amplitude grid,0,1551,0.0343040195745135,-0.622339524232037,0.21955058217947,0.718921208759792,0.81891745722343,1.85881385554654,0.410612959689539,1.38737547913117,0.0402319209808873,0.039818709135926,0.0420650413332644,0.0407052238166926,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,6.62577969258808,0.212011091701643,4.55508024444459,4.46919663425087,0.885016138814507,0.156966807325921,0.558730284890865,0.194292107124541,valid,3066,6589.2972275951,0.276595744680851,0.722759509993553,0.000644745325596389,0.819803139499976,0.000130811347517731,0.0006886,1404,0.0477730651019925,0.497489448372327,0.159099275645023,0.998446037899244,0,0,1,1,1,153.599999999999,-5.31379317545452,0.782720825274017,0.180196860500025,0.715732356208618,0,0,9.34748214465685e-16,8.88178419700125e-15,0,0,0,0,0,0,0,1,1,,,2.03121016916445,1,1,1,0,0,0.148291424887169
A_C09_019,coarse_scan,C09,low_voltage_nominal_speed,reasonable_extension_range,"0.9 p.u. of source 48 V engineering assumption",100,10,0,43.2,1,1551,0.36,0,0.6,0,coarse amplitude grid,0,1551,0.0189368289002174,-0.000144304725706398,0.336543455214052,0.0765000044416354,1.20352011639152,0.207835651177446,0.603476230900048,0.96094209764132,0.0321137334832478,0.0311512671854185,0.0305978586231281,0.0312876197639315,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,7.06498201643945,0.212285437528827,4.85856774386451,4.7720081982761,0.123689994457989,0.0246606652079393,0.536882448547364,0.0254581187252535,valid,4554,9787.23404255319,0.000644745325596389,0.986460348162476,0.0128949065119278,0.81970428967224,0.000123583236621534,0.0005862,1510,0.114205979833968,2.1842063756608e-16,0.3598392416273,4.85807863892912e-14,0,0.000644745325596389,1,0.999355254674404,0.999355254674404,0,12.2569371414447,1,0.180295710327759,0.502528193954334,0,0,9.55236033609656e-16,5.02429586778808e-15,0,0,0,0,0,0,0,1,1,,,1.2213338317018,1,1,1,0,1,0.40361057382334
A_C09_020,coarse_scan,C09,low_voltage_nominal_speed,reasonable_extension_range,"0.9 p.u. of source 48 V engineering assumption",100,10,0,43.2,1,1551,0.36,0.0225,0.6,0.15,coarse amplitude grid,0,1551,0.00492443110337861,-0.0320380382642551,0.383097286742711,0.0970963458757556,1.19394484625108,0.286711639558531,0.602379529537315,0.96094209764132,0.0380058939653398,0.0350131879337487,0.0365949740942311,0.0365380186644399,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,7.04591768528658,0.213394841977387,4.84406273456402,4.75801633285664,0.152486527981242,0.0347818431466191,0.535321080023236,0.0314790572164144,valid,4060,8725.55340640447,0.000644745325596389,0.998710509348807,0.000644745325596389,0.802644987236581,0.000125032817537073,0.0005743,1551,0.149345072203513,0.00346492423851963,0.358637858991366,0.0222126864683237,0,0,1,1,1,34.5599999999999,10.4578253327863,1,0.19735501276342,0.502528193954334,0,0,9.75750460141221e-16,5.68711676634668e-15,0,0,0,0,0,0,0,1,1,,,1.22788756005909,1,1,1,0,1,0.416505480335267
