run_id,scenario,speed_rpm,id_ref_A,iq_ref_A,motor_model,dc_bus_V,voltage_vector_scale,active_vector_magnitude_V,reference_ramp_s,sampling_period_s,Ld_H,Lq_H,alpha_mode,F_estimator,completed_0p2s,illegal,first_illegal_time_s,first_selected_illegal_time_s,minimum_d0,maximum_voltage_utilization_ratio,maximum_reference_voltage_V,maximum_hex_exceedance_V,id_rmse_A,iq_rmse_A,steady_thd_percent,torque_mean_Nm,torque_ripple_Nm,switching_actions,trace_rows,steady_maximum_utilization_ratio,steady_negative_d0,steady_id_rmse_A,steady_iq_rmse_A,peak_abs_rectangle_center_d_V,peak_abs_rectangle_center_q_V,Fd_residual_rmse,Fq_residual_rmse,method,illegal_command_count,original_illegal_command_count,negative_duration_count,fallback_cycles,fallback_fraction,max_consecutive_fallback_cycles,predicted_d_constraint_satisfaction_rate,predicted_q_constraint_satisfaction_rate,actual_d_constraint_violation_rate,actual_q_constraint_violation_rate,execution_time_average_s,execution_time_p95_s,execution_time_max_s,feasibility_layer_time_average_s,target_offset_average_V,target_offset_maximum_V,modified_command_fraction,aligned_actual_d_violation_rate,aligned_actual_q_violation_rate,aligned_joint_actual_violation_rate,false_safe_rate,certification_rate,epsilon_d_mean_A,epsilon_q_mean_A,epsilon_d_p95_A,epsilon_q_p95_A,epsilon_d_max_A,epsilon_q_max_A,tightened_rectangle_area_ratio_mean,R_H_nonempty_ratio,S2_ratio,S3_ratio,maximum_consecutive_S3_cycles,robust_bound_exceeds_tolerance_rate,bound_execution_time_average_s,tightening_execution_time_average_s,geometry_execution_time_average_s
20260715_131154_sequence_decomposition,D04_torque_ramp,400,0,18,P1,48,0.666666666666667,32,0.015,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,1,0,NaN,NaN,0.196028252053556,0.803971747946444,22.3159104377675,0,0.15575861443464,0.176237504607945,1.18669819194463,8.73559026201825,0.0517428190907596,4334,1200,0.774557084802754,0,0.156848744145507,0.149404601427757,14.1086619428141,21.2835160275953,118.734992332814,63.3659637177268,C0_original_feasibility_control,0,0,0,0,0,0,1,1,0.0391666666666667,0.0175,0.00032747287037037,0.000546935,0.0012035,2.0352962962963e-05,0,0,0,0.0392320534223706,0,0.0392320534223706,0.0392320534223706,1,0,0,0,0,0,0,1,1,0,0,0,0,2.10527777777777e-06,3.82212962962963e-06,6.70855555555556e-05
20260715_131154_sequence_decomposition,D05_torque_step,400,0,18,P1,48,0.666666666666667,32,0.002,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,0,1,0.0458,0.0457,-0.0264485975234674,1.02644859752347,32.846355120751,0.84635512075096,0.216568289364987,0.910783141157405,NaN,NaN,NaN,1628,459,NaN,0,NaN,NaN,12.7472090524147,122.429291793679,289.905676168579,81.3944175821707,C0_original_feasibility_control,1,8,1,7,0.0152505446623094,7,0.995642701525055,0.984749455337691,0.0697167755991285,0.0740740740740741,0.000337797342995169,0.000569265,0.00121,2.35664251207729e-05,0.855640295858364,94.2478500373605,0.0152505446623094,0.0700218818380744,0.0262582056892779,0.0809628008752735,0.0656455142231947,0.984749455337691,0,0,0,0,0,0,1,0.984749455337691,0,0.0152505446623094,7,0,2.23115942028986e-06,4.06135265700483e-06,7.10413043478261e-05
20260715_131154_sequence_decomposition,P01_Ld_minus10,300,0,18,P1,48,0.666666666666667,32,0.006,0.0001,0.00072,0.0012,axis_specific,algebraic_iter11,1,0,NaN,NaN,0.286026634700071,0.713973365299929,19.7970118279765,0,0.180274129204188,0.228851899729731,1.33585717300858,8.73143973240551,0.0550906210953613,4230,1200,0.620537950592005,0,0.17905528180793,0.171549944894797,11.5730382442418,19.6753058593052,1125.72672667001,51.5879025077683,C0_original_feasibility_control,0,0,0,0,0,0,1,1,0.0533333333333333,0.0491666666666667,0.000345552222222222,0.00058904,0.0013971,1.83287962962963e-05,0,0,0,0.0534223706176962,0.00166944908180301,0.0542570951585977,0.0542570951585977,1,0,0,0,0,0,0,1,1,0,0,0,0,2.14861111111111e-06,3.94111111111111e-06,6.92386111111111e-05
20260715_131154_sequence_decomposition,P02_Ld_plus10,300,0,18,P1,48,0.666666666666667,32,0.006,0.0001,0.00088,0.0012,axis_specific,algebraic_iter11,1,0,NaN,NaN,0.285735135843573,0.714264864156427,20.6171717786154,0,0.187781269353384,0.241217821688243,1.4532346357563,8.7238346994577,0.0708364110790126,4146,1200,0.644286618049289,0,0.187519264274983,0.190980895869849,11.6773230757331,19.5321204871651,904.505969578799,59.4948491307738,C0_original_feasibility_control,0,0,0,0,0,0,1,1,0.0075,0.0475,0.0003559,0.000585285,0.0017249,1.70201851851852e-05,0,0,0,0.00751252086811352,0.00166944908180301,0.00918196994991653,0.00918196994991653,1,0,0,0,0,0,0,1,1,0,0,0,0,2.26555555555555e-06,4.08175925925926e-06,6.7732037037037e-05
20260715_131154_sequence_decomposition,P03_Lq_minus10,300,0,18,P1,48,0.666666666666667,32,0.006,0.0001,0.0008,0.00108,axis_specific,algebraic_iter11,1,0,NaN,NaN,0.296265080320743,0.703734919679257,19.9429255935622,0,0.183674015281378,0.234580196559793,1.37873648699845,8.72873706363463,0.0727595819857681,4186,1200,0.62321642479882,0,0.183430522932025,0.186129758737798,10.5495337154738,19.3405966795374,108.906740981849,1120.68200823395,C0_original_feasibility_control,0,0,0,0,0,0,1,1,0.0191666666666667,0.1025,0.000305674814814815,0.0004771,0.000906,1.55875925925926e-05,0,0,0,0.0191986644407346,0.0567612687813022,0.0676126878130217,0.0676126878130217,1,0,0,0,0,0,0,1,1,0,0,0,0,1.90851851851851e-06,3.59185185185185e-06,5.9165e-05
20260715_131154_sequence_decomposition,P04_Lq_plus10,300,0,18,P1,48,0.666666666666667,32,0.006,0.0001,0.0008,0.00132,axis_specific,algebraic_iter11,1,0,NaN,NaN,0.260549637135782,0.739450362864218,20.492259149737,0,0.192659650714651,0.237639735966166,1.41803472602948,8.72401597757902,0.0575658031351566,4172,1200,0.653859884437484,0,0.192092491902253,0.189751452681492,12.1431419827486,20.1954023294835,130.10837841494,910.115075830567,C0_original_feasibility_control,0,0,0,0,0,0,1,1,0.0266666666666667,0.0475,0.000360366574074074,0.00061763,0.0015676,1.76986111111111e-05,0,0,0,0.0267111853088481,0,0.0267111853088481,0.0267111853088481,1,0,0,0,0,0,0,1,1,0,0,0,0,2.24953703703704e-06,4.07537037037037e-06,6.88923148148148e-05
20260715_131154_sequence_decomposition,P05_cross_mismatch,400,0,18,P1,48,0.666666666666667,32,0.005,0.0001,0.00072,0.00132,axis_specific,algebraic_iter11,1,0,NaN,NaN,0.137085375161239,0.862914624838761,24.3918722614544,0,0.164936260586089,0.213195815226095,1.1929443448234,8.73885306849803,0.0419571930955556,4360,1200,0.789248857981831,0,0.163707275464182,0.14570569091172,15.3016633286224,23.7057130663146,1658.33364836003,1167.2999871889,C0_original_feasibility_control,0,0,0,0,0,0,1,1,0.0625,0.0408333333333333,0.000331896574074074,0.0005389,0.0017658,2.07028703703704e-05,0,0,0,0.0626043405676127,0,0.0626043405676127,0.0626043405676127,1,0,0,0,0,0,0,1,1,0,0,0,0,2.24240740740741e-06,4.16592592592592e-06,6.78574074074074e-05
20260715_131154_sequence_decomposition,P06_controller_high_L,400,0,18,P1,48,0.666666666666667,32,0.005,0.0001,0.00064,0.00096,axis_specific,algebraic_iter11,1,0,NaN,NaN,0.195783120701432,0.804216879298568,22.8189420289402,0,0.185155893508041,0.223299632932355,1.33496306193049,8.72490069961722,0.0536750029667465,4358,1200,0.748424687647172,0,0.183709428477321,0.156010853255793,12.252205082953,23.3123738707753,2683.73789855292,3213.59566777905,C0_original_feasibility_control,0,0,0,0,0,0,1,1,0.0716666666666667,0.0875,0.000344337222222222,0.00057898,0.0016937,2.11369444444444e-05,0,0,0,0.0717863105175292,0.0500834724540902,0.0759599332220367,0.0759599332220367,1,0,0,0,0,0,0,1,1,0,0,0,0,2.32361111111111e-06,4.23046296296296e-06,7.0227962962963e-05
20260715_131154_sequence_decomposition,P07_controller_low_L,400,0,18,P1,48,0.666666666666667,32,0.005,0.0001,0.00096,0.00144,axis_specific,algebraic_iter11,1,0,NaN,NaN,0.0890014358489338,0.910998564151066,25.4907012250517,0,0.161078968948481,0.222092499888806,1.21625245297706,8.7351188890534,0.0491224692306282,4318,1200,0.804810492952463,0,0.157649322897088,0.151627496303377,16.6150308951658,24.8293807423441,2659.95924115009,2146.19451779084,C0_original_feasibility_control,0,0,0,0,0,0,1,1,0.0166666666666667,0.0408333333333333,0.000310337407407407,0.00052153,0.0008788,1.89736111111111e-05,0,0,0,0.01669449081803,0,0.01669449081803,0.01669449081803,1,0,0,0,0,0,0,1,1,0,0,0,0,1.96379629629629e-06,3.57185185185185e-06,6.34614814814815e-05
20260715_131154_sequence_decomposition,P08_opposed_20pct,400,-3,17,P1,48,0.666666666666667,32,0.005,0.0001,0.00096,0.00096,axis_specific,algebraic_iter11,1,0,NaN,NaN,0.228538293417268,0.771461706582732,21.5346059289886,0,0.190829417990465,0.243004373974842,1.52592201735495,8.23114349204443,0.0896393422186348,4248,1200,0.697202133103609,0,0.186526861076977,0.194919550825772,12.1453559317036,21.4955481596091,1735.09657625355,2897.18068251098,C0_original_feasibility_control,0,0,0,0,0,0,1,1,0.0116666666666667,0.1025,0.00032998287037037,0.00056181,0.0015985,1.76571296296296e-05,0,0,0,0.00918196994991653,0.0642737896494157,0.0734557595993322,0.0734557595993322,1,0,0,0,0,0,0,1,1,0,0,0,0,2.01537037037037e-06,3.76064814814815e-06,6.45948148148148e-05
20260715_131154_sequence_decomposition,B01_500rpm_20A_48V_fast,500,0,20,P1,48,0.666666666666667,32,0.002,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,0,1,0.0004,0.0003,-0.00637668030700023,1.006376680307,32.204053769824,0.204053769824011,0.178669483875933,1.84611813640689,NaN,NaN,NaN,16,5,NaN,0,NaN,NaN,2.95206681322154,33.2039802816361,733.889220718792,121.85406324083,C0_original_feasibility_control,1,3,1,0,0,0,1,1,0,0.8,0.00062566,0.00089632,0.0009293,0.0002192,1.55322649864591,4.39614280203435,0.4,0,0,0,0,1,0,0,0,0,0,0,1,1,0.4,0,0,0,2.52e-06,4.54e-06,0.00027198
20260715_131154_sequence_decomposition,B02_500rpm_negid_48V,500,-4,19.5959179422654,P1,48,0.666666666666667,32,0.002,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,0,1,0.0452,0.0451,-2.74974008749287,3.74974008749286,119.991682799772,87.9916827997717,0.248874392175955,0.821492099005392,NaN,NaN,NaN,1630,453,NaN,0,NaN,NaN,21.305631095872,135.353734672401,270.030350910008,84.1524504796895,C0_original_feasibility_control,1,2,1,1,0.0022075055187638,1,0.997792494481236,0.997792494481236,0.0794701986754967,0.0529801324503311,0.000328203921568627,0.000542,0.0012936,1.95174019607843e-05,0.232322968832396,105.242304881075,0.0022075055187638,0.0487804878048781,0.00221729490022173,0.0487804878048781,0.0465631929046563,0.997792494481236,0,0,0,0,0,0,1,0.995584988962472,0,0.0022075055187638,1,0,2.16053921568627e-06,3.8578431372549e-06,6.51367647058823e-05
