case_id,evidence_role,cohort,offset_samples,event_count,mean_e_d,mean_e_q,mean_residual_magnitude,mean_periodic_6_magnitude,mean_periodic_12_magnitude,mean_Jd_boundary_distance,mean_Jq_boundary_distance,mean_voltage_utilization,S2_fraction,false_safe_fraction
C06_low_bus_43p2V,ENGINEERING_PRIMARY,false_safe,2,6,-0.0107619940422389,0.00703426405278348,0.0130606222781419,0.0061846714628715,0.00309890281551744,0.219183861210292,0.252887211970075,0.551014053378648,0,0
C06_low_bus_43p2V,ENGINEERING_PRIMARY,false_safe,3,6,-0.00620961663249807,0.00614076719538362,0.00898371749222064,0.00497125553771566,0.00280410719027539,0.190125230377402,0.18675331258319,0.518874537787921,0,0
C06_low_bus_43p2V,ENGINEERING_PRIMARY,false_safe,4,6,-0.00565450796583872,0.00453739594118326,0.00790480758335413,0.00350512101633348,0.00292634971458086,0.19085900141348,0.226305504072655,0.48914399047861,0,0
C06_low_bus_43p2V,ENGINEERING_PRIMARY,false_safe,5,6,-0.00722245031096905,0.00313942566425022,0.00944944765408706,0.00318043183361102,0.0032615723266444,0.322499061687534,0.399987833808744,0.577124774490037,0,0
C06_low_bus_43p2V,ENGINEERING_PRIMARY,false_safe,6,6,-0.00070232156807949,-0.00073050854021665,0.00604091240527624,0.00435862315037158,0.00342748024697877,0.371746197230909,0.361080130457076,0.52909425397987,0,0
C06_low_bus_43p2V,ENGINEERING_PRIMARY,false_safe,7,6,0.0028034353276679,-0.000270903119616861,0.00503916702025515,0.00566020471903949,0.00347847180785399,0.337358927817175,0.336466141279276,0.521942581728504,0,0
C06_low_bus_43p2V,ENGINEERING_PRIMARY,false_safe,8,6,0.00133235830127422,0.00268696194741687,0.00764329767395678,0.00696530171664949,0.00340441401411658,0.335643877399546,0.33439727161342,0.539932735300888,0,0
C06_low_bus_43p2V,ENGINEERING_PRIMARY,false_safe,9,6,0.00198977220085933,0.00239797187623361,0.00866236958425317,0.00845766375343669,0.00307683489582219,0.384953133758976,0.380312237006742,0.541917475590072,0,0
C06_low_bus_43p2V,ENGINEERING_PRIMARY,false_safe,10,6,0.00184291235456569,0.00129560576714944,0.00738253544324015,0.00951926220506142,0.00279889173556053,0.322087236796748,0.313749407185283,0.502861477865623,0,0
C06_low_bus_43p2V,ENGINEERING_PRIMARY,matched_control,-10,6,0.00103123092128534,-0.00155811018496621,0.0103657630632084,0.00874343520887975,0.00297046689361275,0.249335212523043,0.32952972463502,0.535694066119203,0,0
C06_low_bus_43p2V,ENGINEERING_PRIMARY,matched_control,-9,6,0.00117516588546571,0.000200595565033267,0.00754732841534589,0.00755142785296641,0.00260399990513793,0.254357641216175,0.311266684619273,0.500626567318197,0,0
C06_low_bus_43p2V,ENGINEERING_PRIMARY,matched_control,-8,6,0.00497690160391634,-0.00388795289846654,0.00743004208331672,0.00597475493277006,0.00258915750984468,0.092758238461362,0.0966605245401522,0.504414764531419,0,0
C06_low_bus_43p2V,ENGINEERING_PRIMARY,matched_control,-7,6,-0.00108741213475502,-0.00336148002673297,0.0119637186654618,0.00409422204138648,0.00318577715854606,0.322592667879468,0.301500960008183,0.48571915750035,0,0
C06_low_bus_43p2V,ENGINEERING_PRIMARY,matched_control,-6,6,-0.00607753717880192,-0.00133927767836598,0.014457566871763,0.00390827279666708,0.0037516706746497,0.302696650641784,0.340694400119676,0.577717747159929,0,0
C06_low_bus_43p2V,ENGINEERING_PRIMARY,matched_control,-5,6,-0.0023441287567591,0.000569882576633876,0.011806543307085,0.00495274871498083,0.00384327849296824,0.399988737130089,0.399985293283212,0.5342932887439,0,0
C06_low_bus_43p2V,ENGINEERING_PRIMARY,matched_control,-4,6,0.00290873155694458,0.00184994042586696,0.00865276897138726,0.0057451966154065,0.00345161109093774,0.274772142138017,0.288916320896957,0.54550023970864,0,0
