case_id,evidence_role,order,dominant_axis,bin_index,phase_start,phase_end,sample_count,false_safe_count,non_false_safe_count,false_safe_rate,event_phase_resultant_R,total_false_safe_events,valid
D02_id_step,SECONDARY_DYNAMIC,12,q,5,1.0471975511966,1.30899693899575,12,0,12,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,6,1.30899693899575,1.5707963267949,18,0,18,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,7,1.5707963267949,1.83259571459405,12,1,11,0.0833333333333333,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,8,1.83259571459405,2.0943951023932,14,0,14,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,9,2.0943951023932,2.35619449019234,13,1,12,0.0769230769230769,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,10,2.35619449019234,2.61799387799149,13,0,13,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,11,2.61799387799149,2.87979326579064,17,0,17,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,12,2.87979326579064,3.14159265358979,12,0,12,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,13,3.14159265358979,3.40339204138894,15,0,15,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,14,3.40339204138894,3.66519142918809,12,0,12,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,15,3.66519142918809,3.92699081698724,14,0,14,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,16,3.92699081698724,4.18879020478639,16,0,16,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,17,4.18879020478639,4.45058959258554,12,0,12,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,18,4.45058959258554,4.71238898038469,15,0,15,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,19,4.71238898038469,4.97418836818384,12,0,12,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,20,4.97418836818384,5.23598775598299,15,1,14,0.0666666666666667,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,21,5.23598775598299,5.49778714378214,15,0,15,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,22,5.49778714378214,5.75958653158129,13,0,13,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,23,5.75958653158129,6.02138591938044,14,0,14,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,24,6.02138591938044,6.28318530717959,12,0,12,0,0.333683968795954,4,1
D03_id_iq_step,SECONDARY_DYNAMIC,6,d,1,0,0.261799387799149,14,1,13,0.0714285714285714,0.728286099797613,6,1
