case_id,window_id,cycle_id,split,evidence_role,order,amplitude_d,amplitude_q,complex_amplitude,phase_d,phase_q
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,12,0.0026423343339953,0.00375789261154244,0.00459387501054346,-0.749828996306961,1.47324852089779
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,13,0.000804155590162927,0.000469371313416675,0.000931115268400631,-2.27151389281475,1.83904718053929
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,14,0.00015832009158061,0.000706811166008588,0.000724325393585308,1.6054269703352,2.44094126779168
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,15,0.000644529522331328,0.000675694051989957,0.000933799098870445,0.0371581275939563,2.0348530405403
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,16,0.000172620303811414,0.000117232027021433,0.000208665084399616,-0.164686612900917,-1.36116412996422
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,17,0.00041877658108836,0.000170191327687223,0.00045203861880153,-3.01955747883593,0.586796323095762
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,18,0.00466520340968377,0.0046264545748115,0.00657025150100963,-2.28464315742919,0.843522459198233
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,19,0.000406471483589607,0.000495624349097321,0.000640985617927329,0.253710637227226,0.31818898477102
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,20,0.00086193970137674,0.00084950983816073,0.00121020949175806,-1.61494258406146,0.67378922213576
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,1,4.50573069936033e-05,0.000109529078793961,0.000118434707813924,-0.434280355156879,-2.57579731581115
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,2,0.000246722791402254,0.000196504956331301,0.000315414542562778,0.0142000744362941,-2.73729837752081
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,3,0.000175548062661639,0.000174549763090161,0.000247557553104498,-0.805839316902612,2.70968141981081
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,4,0.000346163504808857,0.000147218313916618,0.000376168052888604,1.95513764304045,-0.952822551066226
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,5,0.000894999124690532,0.000509970391065314,0.00103009379813691,2.24386416454925,-1.41246738957438
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,6,0.00783232401294677,0.00711351611810618,0.0105805203561233,-0.345703441181319,2.81650035949937
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,7,0.000490505242735015,0.000430995290663774,0.000652956609373768,2.49029782935846,0.992861755919677
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,8,0.000402745378968249,0.000452457941940121,0.00060574089304336,-1.90317149055534,1.81837899381702
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,9,0.000683325948007464,0.000743808083131569,0.00101004198712339,-1.70916908527021,1.35887693947023
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,10,0.000544985545555228,0.000371471187123631,0.000659545364419438,-0.0580393154317527,-2.1371442183557
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,11,0.00136548143394259,0.000619174274329713,0.00149930528193348,0.378388689770634,-2.84351487535145
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,12,0.00223015216184462,0.003454618191225,0.00411192965797361,-0.588923174624933,1.49198617226472
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,13,0.00069843922273983,0.00123286486334792,0.00141695910990378,1.13049610650368,-1.35461945558492
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,14,0.000209585812639165,0.000345579311686953,0.000404167383055149,2.84406493639547,0.246898520560864
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,15,0.00110816718981619,0.000948964060248071,0.00145896103725481,-3.11895779935786,-0.152255407156952
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,16,0.000732191711232923,0.000199164817618965,0.00075879597163888,-2.90261571759674,1.3817816883867
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,17,0.000687003876255913,5.46121547984374e-05,0.000689171106070458,-2.08546356036506,-1.86504580469734
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,18,0.00491492619373749,0.00484225875798294,0.0068995629839251,-2.15064928988437,0.924912491407735
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,19,0.000888657127847281,0.0015602189087244,0.00179554853290434,0.790659749500744,-3.02597440189311
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,2,validation,ENGINEERING_PRIMARY,20,0.000577684345687061,0.000508369852438048,0.00076951875228598,1.29035776425392,-1.84733296817102
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,3,validation,ENGINEERING_PRIMARY,1,0.000133149127541887,0.00013672836146357,0.000190848984785559,1.7173971952845,-0.434242182873155
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,3,validation,ENGINEERING_PRIMARY,2,0.000201110782598429,0.000162021812068501,0.000258256876894524,1.35660616625209,-1.92843760953021
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,3,validation,ENGINEERING_PRIMARY,3,0.000298659916169269,5.96927921691392e-05,0.000304566864519407,3.13197651845254,-0.28849097552016
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,3,validation,ENGINEERING_PRIMARY,4,0.000403597725171896,0.000489409268152923,0.000634359957372712,1.06875167567105,-2.20754688285726
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,3,validation,ENGINEERING_PRIMARY,5,0.000806284504706719,0.00014743354932147,0.000819653191292321,-0.035384771456485,2.95574608007938
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,3,validation,ENGINEERING_PRIMARY,6,0.00738511451433742,0.00709596933931243,0.0102417135897436,-0.276634180684715,2.82908551124362
