cohort,case_id,evidence_role,category,range_class,model,sample_count,residual_rms_before,residual_rms_after,rms_relative_reduction,false_safe_count,false_safe_rate,false_safe_relative_reduction,false_safe_absolute_change_pp,false_alarm_count,false_alarm_rate,false_alarm_change_pp,maximum_consecutive_false_safe,improved_case_count,false_safe_improved_case_count,effective_in_multiple_cases
CASE:P05_cross_mismatch,P05_cross_mismatch,ENGINEERING_PRIMARY,parameter,reasonable_extension,B0,250,0.0354890138804281,0.0354890138804281,0,16,0.064,0,0,0,0,0,1,0,0,0
CASE:P05_cross_mismatch,P05_cross_mismatch,ENGINEERING_PRIMARY,parameter,reasonable_extension,mean_trend,250,0.0354890138804281,0.0355122028183765,-0.000653411729796272,16,0.064,0,0,0,0,0,1,0,0,0
CASE:P05_cross_mismatch,P05_cross_mismatch,ENGINEERING_PRIMARY,parameter,reasonable_extension,6,250,0.0354890138804281,0.0326261722652344,0.0806683900781064,16,0.064,0,0,2,0.008,0.8,1,0,0,0
CASE:P05_cross_mismatch,P05_cross_mismatch,ENGINEERING_PRIMARY,parameter,reasonable_extension,12,250,0.0354890138804281,0.0309521908793064,0.127837392619797,16,0.064,0,0,2,0.008,0.8,1,0,0,0
CASE:P05_cross_mismatch,P05_cross_mismatch,ENGINEERING_PRIMARY,parameter,reasonable_extension,6+12,250,0.0354890138804281,0.0276230905349951,0.221643897233533,12,0.048,0.25,-1.6,2,0.008,0.8,1,0,0,0
CASE:P06_controller_high_L,P06_controller_high_L,ENGINEERING_PRIMARY,parameter,reasonable_extension,B0,250,0.0767808573547519,0.0767808573547519,0,18,0.072,0,0,0,0,0,1,0,0,0
CASE:P06_controller_high_L,P06_controller_high_L,ENGINEERING_PRIMARY,parameter,reasonable_extension,mean_trend,250,0.0767808573547519,0.0769505121743426,-0.00220959787941455,18,0.072,0,0,1,0.004,0.4,1,0,0,0
CASE:P06_controller_high_L,P06_controller_high_L,ENGINEERING_PRIMARY,parameter,reasonable_extension,6,250,0.0767808573547519,0.0755181873626695,0.016445114519215,18,0.072,0,0,0,0,0,1,0,0,0
CASE:P06_controller_high_L,P06_controller_high_L,ENGINEERING_PRIMARY,parameter,reasonable_extension,12,250,0.0767808573547519,0.0747800512668599,0.0260586578064331,14,0.056,0.222222222222222,-1.6,2,0.008,0.8,1,0,0,0
CASE:P06_controller_high_L,P06_controller_high_L,ENGINEERING_PRIMARY,parameter,reasonable_extension,6+12,250,0.0767808573547519,0.0734837084060152,0.0429423304496698,16,0.064,0.111111111111111,-0.799999999999999,2,0.008,0.8,1,0,0,0
CASE:P07_controller_low_L,P07_controller_low_L,ENGINEERING_PRIMARY,parameter,reasonable_extension,B0,250,0.0562560305742246,0.0562560305742246,0,4,0.016,0,0,0,0,0,1,0,0,0
CASE:P07_controller_low_L,P07_controller_low_L,ENGINEERING_PRIMARY,parameter,reasonable_extension,mean_trend,250,0.0562560305742246,0.056778405009042,-0.00928566110131501,4,0.016,0,0,2,0.008,0.8,1,0,0,0
CASE:P07_controller_low_L,P07_controller_low_L,ENGINEERING_PRIMARY,parameter,reasonable_extension,6,250,0.0562560305742246,0.0502774297168984,0.106274843715431,2,0.008,0.5,-0.8,2,0.008,0.8,1,0,0,0
CASE:P07_controller_low_L,P07_controller_low_L,ENGINEERING_PRIMARY,parameter,reasonable_extension,12,250,0.0562560305742246,0.0496865750391785,0.116777800850671,2,0.008,0.5,-0.8,0,0,0,1,0,0,0
CASE:P07_controller_low_L,P07_controller_low_L,ENGINEERING_PRIMARY,parameter,reasonable_extension,6+12,250,0.0562560305742246,0.0427991948436324,0.239206989779294,0,0,1,-1.6,4,0.016,1.6,0,0,0,0
CASE:P08_opposed_20pct,P08_opposed_20pct,ENGINEERING_PRIMARY,parameter,reasonable_extension,B0,249,0.073722769460353,0.073722769460353,0,18,0.072289156626506,0,0,0,0,0,1,0,0,0
CASE:P08_opposed_20pct,P08_opposed_20pct,ENGINEERING_PRIMARY,parameter,reasonable_extension,mean_trend,249,0.073722769460353,0.073737016328407,-0.00019324922487729,16,0.0642570281124498,0.111111111111111,-0.803212851405623,0,0,0,1,0,0,0
CASE:P08_opposed_20pct,P08_opposed_20pct,ENGINEERING_PRIMARY,parameter,reasonable_extension,6,249,0.073722769460353,0.0703791300896898,0.0453542290277266,16,0.0642570281124498,0.111111111111111,-0.803212851405623,0,0,0,1,0,0,0
CASE:P08_opposed_20pct,P08_opposed_20pct,ENGINEERING_PRIMARY,parameter,reasonable_extension,12,249,0.073722769460353,0.0702605118090959,0.0469632065724148,10,0.0401606425702811,0.444444444444444,-3.21285140562249,0,0,0,1,0,0,0
CASE:P08_opposed_20pct,P08_opposed_20pct,ENGINEERING_PRIMARY,parameter,reasonable_extension,6+12,249,0.073722769460353,0.0667242823293748,0.0949297914634346,10,0.0401606425702811,0.444444444444444,-3.21285140562249,2,0.00803212851405622,0.803212851405622,1,0,0,0
