transfer_type,case_id,evidence_role,held_out_id,model,donor_case_count,donor_cases,train_cycle_count,test_sample_count,rms_before,rms_after,rms_relative_reduction,transfer_pass,valid
leave_one_cycle_out,P02_Ld_plus10,ENGINEERING_PRIMARY,1,6,0,,2,167,0.0225608426459433,0.0206768234259821,0.083508371098005,1,1
leave_one_cycle_out,P02_Ld_plus10,ENGINEERING_PRIMARY,1,12,0,,2,167,0.0225608426459433,0.0221088817755836,0.0200329782647088,1,1
leave_one_cycle_out,P02_Ld_plus10,ENGINEERING_PRIMARY,1,6+12,0,,2,167,0.0225608426459433,0.0201835962104406,0.105370463010171,1,1
leave_one_cycle_out,P02_Ld_plus10,ENGINEERING_PRIMARY,2,6,0,,2,167,0.020951189735712,0.0189186888066359,0.0970112415912898,1,1
leave_one_cycle_out,P02_Ld_plus10,ENGINEERING_PRIMARY,2,12,0,,2,167,0.020951189735712,0.02064688452266,0.0145244836637286,1,1
leave_one_cycle_out,P02_Ld_plus10,ENGINEERING_PRIMARY,2,6+12,0,,2,167,0.020951189735712,0.0185816503479227,0.113098082623461,1,1
leave_one_cycle_out,P02_Ld_plus10,ENGINEERING_PRIMARY,3,6,0,,2,167,0.0221308622619302,0.0202092203430606,0.0868308652471841,1,1
leave_one_cycle_out,P02_Ld_plus10,ENGINEERING_PRIMARY,3,12,0,,2,167,0.0221308622619302,0.0216887772609284,0.0199759501355858,1,1
leave_one_cycle_out,P02_Ld_plus10,ENGINEERING_PRIMARY,3,6+12,0,,2,167,0.0221308622619302,0.0197258384343202,0.108672847860392,1,1
leave_one_cycle_out,P03_Lq_minus10,ENGINEERING_PRIMARY,1,6,0,,2,167,0.0257084424809367,0.0244781312606051,0.0478563110637262,1,1
leave_one_cycle_out,P03_Lq_minus10,ENGINEERING_PRIMARY,1,12,0,,2,167,0.0257084424809367,0.0249436155047152,0.0297500316010443,1,1
leave_one_cycle_out,P03_Lq_minus10,ENGINEERING_PRIMARY,1,6+12,0,,2,167,0.0257084424809367,0.0236750580467984,0.0790940344070286,1,1
leave_one_cycle_out,P03_Lq_minus10,ENGINEERING_PRIMARY,2,6,0,,2,167,0.0257767965094355,0.0244714685854248,0.0506396488614429,1,1
leave_one_cycle_out,P03_Lq_minus10,ENGINEERING_PRIMARY,2,12,0,,2,167,0.0257767965094355,0.0250575463937413,0.0279030063115449,1,1
leave_one_cycle_out,P03_Lq_minus10,ENGINEERING_PRIMARY,2,6+12,0,,2,167,0.0257767965094355,0.0237144119794527,0.0800093420929101,1,1
leave_one_cycle_out,P03_Lq_minus10,ENGINEERING_PRIMARY,3,6,0,,2,166,0.02460584451197,0.0234191625336011,0.0482276468012117,1,1
leave_one_cycle_out,P03_Lq_minus10,ENGINEERING_PRIMARY,3,12,0,,2,166,0.02460584451197,0.0239940449598273,0.0248639932616423,1,1
leave_one_cycle_out,P03_Lq_minus10,ENGINEERING_PRIMARY,3,6+12,0,,2,166,0.02460584451197,0.022771714349221,0.0745404272491721,1,1
leave_one_cycle_out,P04_Lq_plus10,ENGINEERING_PRIMARY,1,6,0,,2,167,0.0247437616704283,0.0225894443712867,0.087065068271986,1,1
leave_one_cycle_out,P04_Lq_plus10,ENGINEERING_PRIMARY,1,12,0,,2,167,0.0247437616704283,0.0235776454237924,0.0471276866536231,1,1
leave_one_cycle_out,P04_Lq_plus10,ENGINEERING_PRIMARY,1,6+12,0,,2,167,0.0247437616704283,0.02130187970825,0.139100998789998,1,1
leave_one_cycle_out,P04_Lq_plus10,ENGINEERING_PRIMARY,2,6,0,,2,167,0.0238868878918526,0.0220183366186997,0.0782249777205296,1,1
leave_one_cycle_out,P04_Lq_plus10,ENGINEERING_PRIMARY,2,12,0,,2,167,0.0238868878918526,0.0226611258749567,0.051315266452691,1,1
leave_one_cycle_out,P04_Lq_plus10,ENGINEERING_PRIMARY,2,6+12,0,,2,167,0.0238868878918526,0.0206784926846925,0.134316166328828,1,1
leave_one_cycle_out,P04_Lq_plus10,ENGINEERING_PRIMARY,3,6,0,,2,167,0.0241805245535403,0.0221052745169417,0.0858232017259863,1,1
leave_one_cycle_out,P04_Lq_plus10,ENGINEERING_PRIMARY,3,12,0,,2,167,0.0241805245535403,0.0229750138649003,0.0498546127885173,1,1
leave_one_cycle_out,P04_Lq_plus10,ENGINEERING_PRIMARY,3,6+12,0,,2,167,0.0241805245535403,0.0207759482128775,0.140798283061411,1,1
leave_one_cycle_out,P05_cross_mismatch,ENGINEERING_PRIMARY,1,6,0,,3,125,0.0354890138803495,0.0326261722651584,0.0806683900782128,1,1
leave_one_cycle_out,P05_cross_mismatch,ENGINEERING_PRIMARY,1,12,0,,3,125,0.0354890138803495,0.0309521908792964,0.127837392618149,1,1
leave_one_cycle_out,P05_cross_mismatch,ENGINEERING_PRIMARY,1,6+12,0,,3,125,0.0354890138803495,0.0276230905349953,0.221643897231803,1,1
leave_one_cycle_out,P05_cross_mismatch,ENGINEERING_PRIMARY,2,6,0,,3,125,0.0354890138804536,0.0326261722652513,0.0806683900782913,1,1
leave_one_cycle_out,P05_cross_mismatch,ENGINEERING_PRIMARY,2,12,0,,3,125,0.0354890138804536,0.0309521908793231,0.127837392619954,1,1
leave_one_cycle_out,P05_cross_mismatch,ENGINEERING_PRIMARY,2,6+12,0,,3,125,0.0354890138804536,0.0276230905350022,0.221643897233891,1,1
leave_one_cycle_out,P05_cross_mismatch,ENGINEERING_PRIMARY,3,6,0,,3,125,0.0354890138804223,0.032626172265229,0.0806683900781077,1,1
leave_one_cycle_out,P05_cross_mismatch,ENGINEERING_PRIMARY,3,12,0,,3,125,0.0354890138804223,0.0309521908793002,0.12783739261983,1,1
leave_one_cycle_out,P05_cross_mismatch,ENGINEERING_PRIMARY,3,6+12,0,,3,125,0.0354890138804223,0.0276230905349889,0.221643897233581,1,1
leave_one_cycle_out,P05_cross_mismatch,ENGINEERING_PRIMARY,4,6,0,,3,125,0.0354890138804339,0.0326261722652398,0.080668390078105,1,1
