case_id,window_id,evidence_role,order,frequency_hz,frequency_resolution_hz,order_resolution,sample_rate_hz,nyquist_frequency_hz,nyquist_order,fft_bin_frequency_hz,fft_amplitude_d,fft_amplitude_q,fft_phase_d,fft_phase_q,amplitude_d,amplitude_q,complex_amplitude,phase_d,phase_q,local_noise_floor_d,local_noise_floor_q,local_noise_floor,peak_snr_db,energy_share,leakage_fraction,aliasing_flag,validity
D05_torque_step,D05_torque_step__steady,SECONDARY_DYNAMIC,6,480.000000000001,NaN,NaN,10000,5000,62.4999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:no_registered_steady_phase;early_termination
D05_torque_step,D05_torque_step__steady,SECONDARY_DYNAMIC,12,960.000000000003,NaN,NaN,10000,5000,62.4999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,EXCLUDED:no_registered_steady_phase;early_termination
P01_Ld_minus10,P01_Ld_minus10__steady,ENGINEERING_PRIMARY,6,359.999999999999,20,0.333333333333334,10000,5000,83.3333333333335,360,0.00954526262907011,0.00662488763492928,-0.856641975952587,1.92673809874016,0.00955207306175703,0.0066293530497846,0.011627141593523,0.636143674777358,-2.86335658343495,0.000197945261250996,9.99948337233436e-05,0.000221768557787356,34.3914597820221,0.108796517843966,0.000700171935381794,0,VALID
P01_Ld_minus10,P01_Ld_minus10__steady,ENGINEERING_PRIMARY,12,719.999999999998,20,0.333333333333334,10000,5000,83.3333333333335,720,0.00827718922856444,0.00363179003868224,-1.78986343728821,0.480871405762757,0.00827790658291015,0.00363051364916721,0.00903904678338244,1.19672065010322,-2.81680586335497,0.000495181410649315,0.000284836573951817,0.000571258700864376,23.9857961258222,0.0657528136070776,1.59499579461317e-05,0,VALID
P02_Ld_plus10,P02_Ld_plus10__steady,ENGINEERING_PRIMARY,6,359.999999999999,20,0.333333333333334,10000,5000,83.3333333333335,360,0.0101981788314188,0.00780061843341687,-2.07688799083265,1.66161780259589,0.0101975824386483,0.00780654535170952,0.0128426180322131,-0.583667235656631,-3.12822989326436,0.00088519359884161,0.000574259877255643,0.00105515028031832,21.7067849443517,0.172186118425768,0.000243578800154784,0,VALID
P02_Ld_plus10,P02_Ld_plus10__steady,ENGINEERING_PRIMARY,12,719.999999999998,20,0.333333333333334,10000,5000,83.3333333333335,720,0.00461177101148694,0.00452263749388093,2.06126452942512,-0.363838022639964,0.00462201456466208,0.00452598308838003,0.00646896758008961,-1.2363724392286,2.62191209328806,0.00203613428688378,0.00113236982720341,0.00232982923403936,8.87021768530258,0.0436878782682448,0.00149295584483504,0,VALID
P03_Lq_minus10,P03_Lq_minus10__steady,ENGINEERING_PRIMARY,6,359.999999999999,20,0.333333333333334,10000,5000,83.3333333333335,360,0.00709975752233877,0.008522717049605,-1.59775798896919,1.07232815429442,0.00710198209530219,0.00852067348106981,0.0110923408824738,-0.104464141810051,2.56545281298619,0.00020605920970607,0.000154917822356356,0.000257798234261458,32.6748653829754,0.0955895583829581,1.31522621111726e-05,0,VALID
P03_Lq_minus10,P03_Lq_minus10__steady,ENGINEERING_PRIMARY,12,719.999999999998,20,0.333333333333334,10000,5000,83.3333333333335,720,0.00431510951078798,0.00721299868308267,-2.77847427869576,-0.88733012248995,0.00431395142636902,0.00722282746774171,0.00841305019228077,0.206806360157807,2.09860396731006,0.000600200845954082,0.000942574700731882,0.00111744714503362,17.5345297930886,0.0549883894593328,0.000932156260623697,0,VALID
P04_Lq_plus10,P04_Lq_plus10__steady,ENGINEERING_PRIMARY,6,359.999999999999,20,0.333333333333334,10000,5000,83.3333333333335,360,0.0107523303929444,0.00889972540843861,-1.49451964722768,2.33585404483227,0.0107595932021999,0.00889993706251306,0.0139634424693025,-0.00123196435118012,-2.45405392327288,0.00112622650224634,0.00091438492844655,0.00145068464241276,19.6683897317741,0.165554561895666,0.000410398695337703,0,VALID
P04_Lq_plus10,P04_Lq_plus10__steady,ENGINEERING_PRIMARY,12,719.999999999998,20,0.333333333333334,10000,5000,83.3333333333335,720,0.00726646261920768,0.00828796312436743,-2.88813039216504,0.96302080412379,0.00726547330007156,0.0082859487939666,0.0110201655926891,0.0975002128577303,-2.33397752860689,0.00165078361491902,0.00261597112310704,0.00309328166519233,11.0353730605629,0.103117504218028,0.000196622897350092,0,VALID
