case_id,window_id,cycle_id,split,evidence_role,axis,order,c0_real,c0_imag,c_cos_real,c_cos_imag,c_sin_real,c_sin_imag,amplitude,phase,complex_coefficient_real,complex_coefficient_imag,residual_vector_rms,interpolation_rmse,extrapolated_grid_fraction,angle_points,valid
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,dq_positive,6,-2.65501898830875e-05,3.28835466495068e-05,0.00847638958784284,-0.00757172084876824,-1.81731174462151e-05,0.000194446817132972,0.0114995429166212,-0.716641933360062,0.00867083640497581,-0.00755354773132202,0.00796734385384509,0.0012421067478319,0.00390625,256,1
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,dq_negative,6,-2.65501898830875e-05,3.28835466495068e-05,0.00847638958784284,-0.00757172084876824,-1.81731174462151e-05,0.000194446817132972,0.0112337467692525,-0.741823449898534,0.00828194277070987,-0.00758989396621445,0.00796734385384509,0.0012421067478319,0.00390625,256,1
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,d,12,-2.65501898830875e-05,0,0.00278198836592844,0,0.00199556648795952,0,0.00342370338610521,-0.622253560615013,0.00278198836592844,-0.00199556648795952,0.00796734385384509,0.0012421067478319,0.00390625,256,1
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,q,12,3.28835466495068e-05,0,-0.00148829469365904,0,-0.00516064960985922,0,0.00537097062837936,1.85157068210397,-0.00148829469365904,0.00516064960985922,0.00796734385384509,0.0012421067478319,0.00390625,256,1
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,dq_positive,12,-2.65501898830875e-05,3.28835466495068e-05,0.00278198836592844,-0.00148829469365904,0.00199556648795952,-0.00516064960985922,0.00421844972071103,-2.16986182360832,-0.00237866124393078,-0.00348386118161856,0.00796734385384509,0.0012421067478319,0.00390625,256,1
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,dq_negative,12,-2.65501898830875e-05,3.28835466495068e-05,0.00278198836592844,-0.00148829469365904,0.00199556648795952,-0.00516064960985922,0.00795882043318714,0.0637802907896385,0.00794263797578766,0.000507271794300485,0.00796734385384509,0.0012421067478319,0.00390625,256,1
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,d,6,7.0185868659789e-06,0,0.00901708716537061,0,0.000945822221715178,0,0.00906655616113316,-0.104510044188055,0.00901708716537061,-0.000945822221715178,0.00756476423636455,0.0011586418440795,0.01171875,256,1
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,q,6,-1.42900636854927e-05,0,-0.00779216584731473,0,-0.000342560595609915,0,0.00779969206787824,3.09765876255439,-0.00779216584731473,0.000342560595609915,0.00756476423636455,0.0011586418440795,0.01171875,256,1
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,dq_positive,6,7.0185868659789e-06,-1.42900636854927e-05,0.00901708716537061,-0.00779216584731473,0.000945822221715178,-0.000342560595609915,0.0123125889521251,-0.789042738555062,0.0086745265697607,-0.00873798806902991,0.00756476423636455,0.0011586418440795,0.01171875,256,1
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,dq_negative,6,7.0185868659789e-06,-1.42900636854927e-05,0.00901708716537061,-0.00779216584731473,0.000945822221715178,-0.000342560595609915,0.0115963540498475,-0.631538981411082,0.00935964776098053,-0.00684634362559955,0.00756476423636455,0.0011586418440795,0.01171875,256,1
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,d,12,7.0185868659789e-06,0,0.00238437809443229,0,0.00359839411524041,0,0.00431667685909027,-0.98559852953801,0.00238437809443229,-0.00359839411524041,0.00756476423636455,0.0011586418440795,0.01171875,256,1
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,q,12,-1.42900636854927e-05,0,-0.00169752961039274,0,-0.00643718871522021,0,0.00665725208577222,1.82863320670912,-0.00169752961039274,0.00643718871522021,0.00756476423636455,0.0011586418440795,0.01171875,256,1
