case_id,evidence_role,axis,order,cycle_count,calibration_cycle_count,validation_cycle_count,mean_speed,frequency_hz,amplitude_mean,amplitude_std,amplitude_cv,circular_mean_phase,phase_resultant_R,peak_snr_db,calibration_amplitude,validation_amplitude,validation_to_calibration_amplitude_ratio,validation_phase_shift,held_out_repeatable,snr_pass,cv_pass,phase_pass,stable_periodic_component
D03_id_iq_step,SECONDARY_DYNAMIC,d,12,3,1,2,300,719.999999999998,0.0027291176276486,0.000239440636854546,0.0877355502851107,-0.185278105838953,0.991642463871337,17.9939059498476,0.00250149216696596,0.00284293035798992,1.13649380778916,0.153607154057983,1,1,1,1,0
D03_id_iq_step,SECONDARY_DYNAMIC,q,12,3,1,2,300,719.999999999998,0.00397320914974693,3.09475003697394e-05,0.00778904386941488,2.17282096840216,0.998032967990412,16.0137840281383,0.00395608843407187,0.00398176950758445,1.0064915317088,0.12958489275632,1,1,1,1,0
D03_id_iq_step,SECONDARY_DYNAMIC,dq_positive,12,3,1,2,300,719.999999999998,0.00281586332029899,0.000334167230706418,0.118673100465308,-1.78313859548847,0.998124094430707,16.5487800159522,0.00276812134239511,0.00283973430925093,1.0258706024765,0.0208369403348591,1,1,1,1,0
D03_id_iq_step,SECONDARY_DYNAMIC,dq_negative,12,3,1,2,300,719.999999999998,0.00620380432899686,0.000289692470616385,0.0466959393387618,-0.286707098278852,0.996176023909322,16.5487800159522,0.00601279483709159,0.00629930907494949,1.04765075902648,0.161039219132208,1,1,1,1,0
D04_torque_ramp,SECONDARY_DYNAMIC,d,6,4,2,2,400,479.999999999998,0.0136826199666283,2.87421188055782e-15,2.10062976795964e-13,-0.208716576662967,1,25.6290577824668,0.013682619966629,0.0136826199666275,0.99999999999989,5.34386893207135e-13,1,1,1,1,0
D04_torque_ramp,SECONDARY_DYNAMIC,q,6,4,2,2,400,479.999999999998,0.00959214771459316,4.90550978113214e-15,5.11408907274131e-13,-3.13155426557521,1,25.0846021772141,0.00959214771459475,0.00959214771459158,0.999999999999669,4.11808587449423e-13,1,1,1,1,0
D04_torque_ramp,SECONDARY_DYNAMIC,dq_positive,6,4,2,2,400,479.999999999998,0.0183354250824372,3.53917431595935e-15,1.93023848645287e-13,-0.744693140986245,1,25.4420145337347,0.0183354250824356,0.0183354250824387,1.00000000000017,1.11100888857245e-13,1,1,1,1,0
D04_torque_ramp,SECONDARY_DYNAMIC,dq_negative,6,4,2,2,400,479.999999999998,0.0149083520519819,1.52177175769621e-14,1.02075115505064e-12,-0.470359336668367,1,25.4420145337347,0.0149083520519873,0.0149083520519765,0.999999999999282,3.91528766779337e-13,1,1,1,1,0
D04_torque_ramp,SECONDARY_DYNAMIC,d,12,4,2,2,400,959.999999999996,0.0104009850966139,3.53597541742505e-15,3.39965434483335e-13,0.256855639141127,1,20.5470597923067,0.0104009850966149,0.010400985096613,0.999999999999815,1.13814152716005e-13,1,1,1,1,0
D04_torque_ramp,SECONDARY_DYNAMIC,q,12,4,2,2,400,959.999999999996,0.00836831908795743,4.1928825034182e-15,5.0104237892315e-13,-2.97072135422435,1,18.8231352106415,0.0083683190879589,0.00836831908795596,0.999999999999648,6.0056578582687e-13,1,1,1,1,0
