case_id,condition_id,stage,range_class,Jd_limit_A2,Jq_limit_A2,single_vector_ratio,double_vector_ratio,three_vector_ratio,zero_vector_dwell_ratio,mode_change_L1_vs_default,average_switching_frequency_Hz,total_switching_actions
A_C11_006,C11,coarse_scan,reasonable_extension_range,0.01,1,0.00967117988394584,0.859445519019987,0.130883301096067,0.806469327653525,0.353320438426822,9774.33913604126,4548
A_C11_007,C11,coarse_scan,reasonable_extension_range,0.04,0,0.000644745325596389,0.423597678916828,0.575757575757576,0.839949087689166,1.1244358478401,11859.0156888029,5518
A_C11_008,C11,coarse_scan,reasonable_extension_range,0.04,0.0225,0.000644745325596389,0.801418439716312,0.197936814958092,0.840091569318451,0.371373307543521,10556.6301310982,4912
A_C11_009,C11,coarse_scan,reasonable_extension_range,0.04,0.04,0.00128949065119278,0.778852353320438,0.219858156028369,0.840147463650823,0.41263700838169,10474.962389856,4874
A_C11_010,C11,coarse_scan,reasonable_extension_range,0.04,0.16,0.208252740167634,0.635074145712444,0.156673114119923,0.838540945093091,0.330109606705351,8162.47582205029,3798
A_C11_011,C11,coarse_scan,reasonable_extension_range,0.04,0.64,0.280464216634429,0.613797549967763,0.105738233397808,0.834491157487065,0.372662798194712,7130.88330109607,3318
A_C11_012,C11,coarse_scan,reasonable_extension_range,0.04,1,0.268214055448098,0.660863958736299,0.0709219858156028,0.833624563364584,0.27852998065764,7070.70707070707,3290
A_C11_013,C11,coarse_scan,reasonable_extension_range,0.16,0,0.000644745325596389,0.929722759509994,0.0696324951644101,0.839798834201384,0.371373307543521,10135.3965183752,4716
A_C11_014,C11,coarse_scan,reasonable_extension_range,0.16,0.0225,0.000644745325596389,0.994842037395229,0.00451321727917473,0.839809610360495,0.38942617666022,9572.31893402106,4454
A_C11_015,C11,coarse_scan,reasonable_extension_range,0.16,0.04,0.00257898130238556,0.994842037395229,0.00257898130238556,0.836523042228927,0.38942617666022,9185.47173866323,4274
A_C11_016,C11,coarse_scan,reasonable_extension_range,0.16,0.16,0.186331399097357,0.800128949065119,0.0135396518375242,0.835902890386427,0,7526.32710079519,3502
A_C11_017,C11,coarse_scan,reasonable_extension_range,0.16,0.64,0.299806576402321,0.687943262411348,0.0122501611863314,0.835509785509066,0.226950354609928,6382.97872340426,2970
A_C11_018,C11,coarse_scan,reasonable_extension_range,0.16,1,0.31076724693746,0.684719535783366,0.00451321727917473,0.83818838550309,0.248871695680206,6297.0126799914,2930
A_C11_019,C11,coarse_scan,reasonable_extension_range,0.36,0,0.000644745325596389,0.988394584139265,0.0109606705351386,0.837192882497286,0.376531270148292,9744.25102084676,4534
A_C11_020,C11,coarse_scan,reasonable_extension_range,0.36,0.0225,0.000644745325596389,0.998710509348807,0.000644745325596389,0.827568627702083,0.397163120567376,8961.96002578981,4170
A_C11_021,C11,coarse_scan,reasonable_extension_range,0.36,0.04,0.00128949065119278,0.998065764023211,0.000644745325596389,0.827469465557679,0.395873629916184,8742.74661508704,4068
A_C11_022,C11,coarse_scan,reasonable_extension_range,0.36,0.16,0.259187620889749,0.740812379110251,0,0.833225378430665,0.145712443584784,6623.68364496024,3082
