cohort_type,cohort,predictor,causality_class,ranking_valid,sample_count,candidate_bank_semantics,top1_flip_vs_P0_rate,top3_flip_vs_P0_rate,mode_flip_vs_P0_rate,feasibility_flip_vs_P0_rate,top1_agreement_with_P5_rate,top1_recovery_eligible_count,top1_recovered_count,top1_recovery_rate,top1_new_error_count,mode_recovery_eligible_count,mode_recovered_count,mode_recovery_rate,mode_new_error_count,top3_jaccard_vs_P5,S2_changed_command_rate,diagnostic_top1_voltage_changed_rate
category,boundary,P1,causal_original,1,454,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0,0,0,0,0.995594713656388,2,0,0,0,1,0,0,0,0.964757709251101,0,0.0198237885462555
category,boundary,P2a,causal_previous_period_oracle,1,452,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00442477876106195,0.0376106194690266,0.00221238938053097,0.00442477876106195,1,2,2,1,0,1,1,1,0,0.948008849557522,0,0.0199115044247788
category,boundary,P2b,offline_physical_parameter_oracle,1,454,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00440528634361234,0.039647577092511,0.00220264317180617,0.0242290748898678,1,2,2,1,0,1,1,1,0,0.949339207048458,0,0.0198237885462555
category,boundary,P2c,noncausal_future_endpoint_oracle,0,454,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00440528634361234,0.0462555066079295,0.00220264317180617,0.0242290748898678,NaN,0,0,NaN,0,0,0,NaN,0,NaN,0,0.0198237885462555
category,boundary,P3a,causal_previous_period_oracle,1,452,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00442477876106195,0.0376106194690266,0.00221238938053097,0.00442477876106195,1,2,2,1,0,1,1,1,0,0.948008849557522,0,0.0199115044247788
category,boundary,P3b,offline_physical_parameter_oracle,1,454,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00440528634361234,0.039647577092511,0.00220264317180617,0.0242290748898678,1,2,2,1,0,1,1,1,0,0.949339207048458,0,0.0198237885462555
category,boundary,P3c,noncausal_future_endpoint_oracle,0,454,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00440528634361234,0.0462555066079295,0.00220264317180617,0.0242290748898678,NaN,0,0,NaN,0,0,0,NaN,0,NaN,0,0.0198237885462555
category,boundary,P4,offline_physical_parameter_oracle,1,454,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00440528634361234,0.0462555066079295,0.00220264317180617,0.0242290748898678,1,2,2,1,0,1,1,1,0,0.970264317180617,0,0.0198237885462555
category,boundary,P5,offline_plant_replay_oracle,1,454,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00440528634361234,0.0704845814977974,0.00220264317180617,0.0462555066079295,1,2,2,1,0,1,1,1,0,1,0,0.0198237885462555
category,core,P0,causal_original,1,9613,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0,0,0,0,0.99791948403204,20,0,0,0,17,0,0,0,0.996255071257672,0,0.0237178820347446
