cohort_type,cohort,predictor,causality_class,registered_sample_count,valid_sample_count,ed_mean_A,eq_mean_A,ed_rms_A,eq_rms_A,vector_rms_A,ed_peak_A,eq_peak_A,vector_peak_A,false_safe_d_count,false_safe_q_count,false_safe_joint_count,false_safe_joint_rate,false_alarm_joint_rate,maximum_consecutive_false_safe,predicted_joint_pass_rate,actual_joint_pass_rate,steady_vector_rms_A,dynamic_vector_rms_A,S2_near_vector_rms_A,top1_flip_vs_P0_rate,mode_flip_vs_P0_rate,diagnostic_top1_voltage_changed_rate
range,normal,P2c,noncausal_future_endpoint_oracle,9323,9323,0.000858117974063953,-0.000112625129565719,0.0067585277748589,0.00290806429492344,0.00735761752382847,0.0854916565591397,0.021535656627155,0.0859885002567943,91,0,85,0.00911723694089885,0.00396867960956774,10,0.985519682505631,0.9803711251743,0.00479898704574514,0.00891518595941469,0.0537311732830481,0.00300332510994315,0.00171618577711037,0.0114769923844256
range,normal,P3a,causal_previous_period_oracle,9323,9313,0.0025329247071361,-0.000337408862323289,0.0181842784061632,0.00676627051413886,0.0194023297009241,0.251347831859958,0.0606072252949019,0.252499073386651,113,4,102,0.0109524320841834,0.00343605712444969,11,0.987973800064426,0.980457425104692,0.0105785030494739,0.0243401284040855,0.159631470708725,0.00225249383245736,0.00214523222138797,0.0109406843290786
range,normal,P3b,offline_physical_parameter_oracle,9323,9323,0.00162800448737615,-2.22097667456546e-05,0.0160843545490147,0.00801302801437265,0.0179698380409377,0.169685028845052,0.0603823013059248,0.170433987545043,101,2,88,0.00943902177410705,0.00804462083020487,10,0.981765526118202,0.9803711251743,0.0138747906914565,0.0207166295677522,0.107536113267396,0.00246701705459616,0.00214523222138797,0.0111552075512174
range,normal,P3c,noncausal_future_endpoint_oracle,9323,9323,0.000858117974063953,-0.000112625129565719,0.0067585277748589,0.00290806429492344,0.00735761752382847,0.0854916565591397,0.021535656627155,0.0859885002567943,91,0,85,0.00911723694089885,0.00396867960956774,10,0.985519682505631,0.9803711251743,0.00479898704574514,0.00891518595941469,0.0537311732830481,0.00300332510994315,0.00171618577711037,0.0114769923844256
range,normal,P4,offline_physical_parameter_oracle,9323,9323,0.000784528112698151,7.68680967948545e-05,0.0067207790470228,0.00295148469611967,0.0073403087748629,0.0848108104023846,0.0212195678833589,0.0853066326080852,91,0,85,0.00911723694089885,0.00396867960956774,10,0.985519682505631,0.9803711251743,0.00481593003483861,0.0088817838883863,0.0532457501872718,0.00300332510994315,0.00171618577711037,0.0114769923844256
range,normal,P5,offline_plant_replay_oracle,9323,9323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9803711251743,0.9803711251743,0,0,0,0.00343237155422074,0.00193070899924917,0.0119060388287032
range,reasonable_extension,P0,causal_original,14376,14376,0.00588465474253174,-0.000525546437906779,0.041125834283376,0.0285350559872245,0.050055805514423,0.545882855046677,0.272063735996219,0.545938391007811,391,230,551,0.0383277685030607,0,2,0.999652198107958,0.961324429604897,0.0396253076609099,0.0586334739033839,NaN,0,0,0.0583611574846967
range,reasonable_extension,P1,causal_original,14376,14376,0.00735566973409839,-0.0500376431994159,0.27273462665381,0.298700270785067,0.404482420313993,0.708538820598227,0.861235177114906,1.07672867772599,206,225,295,0.0205203116304953,0.278658875904285,2,0.703185865331107,0.961324429604897,0.403998531625875,0.404964120732909,NaN,0.158110740122426,0.0971062882582081,0.179396215915415
range,reasonable_extension,P2a,causal_previous_period_oracle,14376,14364,0.00252630932766222,-0.000237138454557555,0.0570856111304859,0.0577165803736143,0.0811786341851409,0.381284514204257,0.368891604066744,0.527630896212012,275,157,332,0.0231133389028126,0.0230437204121415,1,0.961431356168198,0.961361737677527,0.0797916986566234,0.0825400109533247,NaN,0.0235809682804674,0.0114774624373957,0.0748469671675014
range,reasonable_extension,P2b,offline_physical_parameter_oracle,14376,14376,0.000161599167702149,0.0496053164048035,0.272048309537398,0.299067663886869,0.40429166489665,0.721798789173064,0.849643265841415,0.932835107893981,244,7,157,0.010920979410128,0.286032276015582,1,0.686213132999444,0.961324429604897,0.404757391614167,0.403826956169815,NaN,0.239774624373957,0.10649693934335,0.266138007790762
