cohort_type,cohort,predictor,causality_class,sample_count,true_violation_predicted_violation,true_safe_predicted_safe,false_safe_count,false_alarm_count,false_safe_rate,false_alarm_rate,violation_recall,safe_specificity,maximum_consecutive_false_safe
case,C02_light_100rpm_4A,P3b,offline_physical_parameter_oracle,1198,1,1182,0,15,0,0.0125208681135225,1,0.987468671679198,0
case,C02_light_100rpm_4A,P3c,noncausal_future_endpoint_oracle,1198,1,1195,0,2,0,0.00166944908180301,1,0.998329156223893,0
case,C02_light_100rpm_4A,P4,offline_physical_parameter_oracle,1198,1,1195,0,2,0,0.00166944908180301,1,0.998329156223893,0
case,C02_light_100rpm_4A,P5,offline_plant_replay_oracle,1198,1,1197,0,0,0,0,1,1,0
case,C03_light_200rpm_6A,P0,causal_original,1198,0,1192,6,0,0.00500834724540901,0,0,1,1
case,C03_light_200rpm_6A,P1,causal_original,1198,0,1192,6,0,0.00500834724540901,0,0,1,1
case,C03_light_200rpm_6A,P2a,causal_previous_period_oracle,1197,6,1182,0,9,0,0.0075187969924812,1,0.992443324937028,0
case,C03_light_200rpm_6A,P2b,offline_physical_parameter_oracle,1198,6,1160,0,32,0,0.0267111853088481,1,0.973154362416107,0
case,C03_light_200rpm_6A,P2c,noncausal_future_endpoint_oracle,1198,6,1173,0,19,0,0.0158597662771285,1,0.984060402684564,0
case,C03_light_200rpm_6A,P3a,causal_previous_period_oracle,1197,6,1182,0,9,0,0.0075187969924812,1,0.992443324937028,0
case,C03_light_200rpm_6A,P3b,offline_physical_parameter_oracle,1198,6,1160,0,32,0,0.0267111853088481,1,0.973154362416107,0
case,C03_light_200rpm_6A,P3c,noncausal_future_endpoint_oracle,1198,6,1173,0,19,0,0.0158597662771285,1,0.984060402684564,0
case,C03_light_200rpm_6A,P4,offline_physical_parameter_oracle,1198,6,1173,0,19,0,0.0158597662771285,1,0.984060402684564,0
case,C03_light_200rpm_6A,P5,offline_plant_replay_oracle,1198,6,1192,0,0,0,0,1,1,0
case,C04_high_200rpm_18A,P0,causal_original,1198,0,1184,14,0,0.011686143572621,0,0,1,1
