cohort_type,cohort,registered_sample_count,common_sample_count,MSE_P0_A2,MSE_P1_A2,MSE_P2a_A2,MSE_P2b_A2,MSE_P2c_A2,MSE_P3a_A2,MSE_P3b_A2,MSE_P3c_A2,MSE_P4_A2,MSE_P5_A2,Delta_F_causal_A2,Delta_F_instant_A2,Delta_alpha_A2,Delta_joint_causal_A2,Delta_joint_instant_A2,Delta_F_alpha_interaction_excess_A2,factorial_interaction_MSE_A2,Delta_two_period_F_freezing_A2,Delta_discretization_structure_A2,Delta_structure_total_A2,Delta_remaining_oracle_gap_A2,F_shapley_contribution_A2,alpha_shapley_contribution_A2,F_share_of_explained,alpha_share_of_explained,structure_share_of_explained,material_F,material_alpha,material_structure,P0_false_safe_full_mask_rate,P0_false_safe_common_intersection_rate
phase,steady,11362,11362,0.00104098553976414,0.103132342517853,0.00406231132534141,0.103541585342778,0.00213823091531277,0.000146312061629277,0.00027186292886594,2.91730438137186e-05,2.91861448408549e-05,0,-0.00302132578557727,-0.102500599803013,-0.102091356978089,0.000894673478134865,0.000769122610898203,0.205361079392001,-0.205361079392001,0.000242676784025085,2.91861448408549e-05,0.00027186292886594,0,0.000179939892987022,0.000589182717911182,0.17285532422265,0.565985496825128,0.261159178952223,0,0,1,0.0266678401689843,0.0266678401689843
case,C01_nominal_100rpm_10A,1198,1197,5.2931792062805e-05,5.2931792062805e-05,3.83748108876287e-05,7.58675699138731e-05,8.09656342360272e-06,3.83748108876287e-05,7.58675699138731e-05,8.09656342360272e-06,8.08665589972125e-06,0,1.45569811751762e-05,-2.29357778510681e-05,0,1.45569811751762e-05,-2.29357778510681e-05,0,0,6.77809140141518e-05,8.08665589972125e-06,7.58675699138731e-05,0,-2.29357778510681e-05,0,-0.433308168063802,0,1.4333081680638,0,0,1,0.00250417362270451,0.0025062656641604
case,C02_light_100rpm_4A,1198,1197,2.24652833053796e-05,2.24652833053796e-05,3.46473216775399e-05,7.11953099490144e-05,8.19869329649475e-06,3.46473216775399e-05,7.11953099490144e-05,8.19869329649475e-06,8.17674778539653e-06,0,-1.21820383721603e-05,-4.87300266436348e-05,0,-1.21820383721603e-05,-4.87300266436348e-05,0,0,6.30185621636179e-05,8.17674778539653e-06,7.11953099490144e-05,0,-4.87300266436348e-05,0,-2.16912584547579,0,3.16912584547579,0,0,1,0.000834724540901503,0.000835421888053467
case,C03_light_200rpm_6A,1198,1197,7.63220335240931e-05,7.63220335240931e-05,7.01809754849929e-05,0.000180212202662191,1.6286259264507e-05,7.01809754849929e-05,0.000180212202662191,1.6286259264507e-05,1.62016685792313e-05,0,6.14105803910017e-06,-0.000103890169138098,0,6.14105803910017e-06,-0.000103890169138098,2.71050543121376e-20,0,0.00016401053408296,1.62016685792313e-05,0.000180212202662191,0,-0.000103890169138098,0,-1.36120808554325,0,2.36120808554325,0,0,1,0.00500834724540901,0.0050125313283208
case,C04_high_200rpm_18A,1198,1197,0.000434895797125445,0.000434895797125445,0.000144212796151197,0.000192793788146685,2.42044271003797e-05,0.000144212796151197,0.000192793788146685,2.42044271003797e-05,2.40840364261738e-05,0,0.000290683000974248,0.00024210200897876,0,0.000290683000974248,0.00024210200897876,5.42101086242752e-20,0,0.000168709751720511,2.40840364261738e-05,0.000192793788146685,0,0.00024210200897876,0,0.556689695736302,0,0.443310304263698,1,0,1,0.011686143572621,0.0116959064327485
case,C05_negative_id,1198,1197,0.000619255519464701,0.000619255519464701,0.000221541438153434,0.00035717725855938,3.9225844861778e-05,0.000221541438153434,0.00035717725855938,3.9225844861778e-05,3.91264756286808e-05,0,0.000397714081311267,0.000262078260905321,0,0.000397714081311267,0.000262078260905321,0,0,0.000318050782930699,3.91264756286808e-05,0.00035717725855938,0,0.000262078260905321,0,0.423215058513919,0,0.576784941486081,1,0,1,0.0108514190317195,0.0108604845446951
case,C06_low_bus_43p2V,1198,1197,0.000622605192233351,0.000622605192233351,0.000203690154454151,0.000323322360259362,3.54996358981096e-05,0.000203690154454151,0.000323322360259362,3.54996358981096e-05,3.53478779011297e-05,0,0.0004189150377792,0.000299282831973989,0,0.0004189150377792,0.000299282831973989,5.42101086242752e-20,0,0.000287974482358233,3.53478779011297e-05,0.000323322360259362,0,0.000299282831973989,0,0.480694404266738,0,0.519305595733262,1,0,1,0.0183639398998331,0.0183792815371763
case,C07_known_false_safe,29,28,0.16456040361721,0.16456040361721,0.0323399512146557,0.0150226651808489,0.00371433559968356,0.0323399512146557,0.0150226651808489,0.00371433559968356,0.00366464249426822,0,0.132220452402555,0.149537738436361,0,0.132220452402555,0.149537738436361,-3.46944695195361e-18,3.46944695195361e-18,0.0113580226865806,0.00366464249426822,0.0150226651808489,0,0.149537738436361,0,0.908710328544201,0,0.0912896714557993,1,0,0,0.655172413793103,0.678571428571429
case,C08_S2_nontrigger,1198,1197,0.000241300215202205,0.000241300215202205,8.30555572676132e-05,9.89672257838712e-05,1.29513152771237e-05,8.30555572676132e-05,9.89672257838712e-05,1.29513152771237e-05,1.28976258482822e-05,0,0.000158244657934592,0.000142332989418334,0,0.000158244657934592,0.000142332989418334,0,0,8.60695999355891e-05,1.28976258482822e-05,9.89672257838712e-05,0,0.000142332989418334,0,0.589858526645165,0,0.410141473354835,1,0,1,0.00333889816360601,0.00334168755221387
case,C09_S2_boundary,1198,1197,0.00328678777764833,0.00328678777764833,0.000881280652465702,0.000697402646272583,0.000126078573356442,0.000881280652465702,0.000697402646272583,0.000126078573356442,0.000126525808596617,0,0.00240550712518263,0.00258938513137575,0,0.00240550712518263,0.00258938513137575,4.33680868994202e-19,0,0.000570876837675966,0.000126525808596617,0.000697402646272583,0,0.00258938513137575,0,0.787816344269247,0,0.212183655730753,1,0,1,0.0233722871452421,0.0233918128654971
