case_id,method,repeat,category,range_class,trace_rows,completed,illegal,ed_mean_A,eq_mean_A,ed_rms_A,eq_rms_A,vector_rms_A,vector_peak_A,false_safe_rate,false_alarm_rate,max_false_safe_run,actual_violation_rate,id_tracking_rms_A,iq_tracking_rms_A,id_steady_error_A,iq_steady_error_A,torque_mean_Nm,torque_ripple_Nm,phase_thd,thd_valid,thd_cycles,switching_actions,equivalent_switching_Hz,voltage_utilization_mean,S2_count,illegal_duration_count,alpha_d_mean,alpha_q_mean,alpha_d_variance,alpha_q_variance,alpha_d_min,alpha_d_max,alpha_q_min,alpha_q_max,alpha_boundary_hit_rate,alpha_update_rate,gate_freeze_rate,F_d_rms,F_q_rms,decision_gate_rate,s2_gate_rate,reset_count,reacquire_count,execution_mean_us,execution_p95_us,execution_p99_us,execution_max_us,estimator_finite,timing_pass
D02_id_step,B0,1,dynamic,reasonable_extension,1200,1,0,-0.000299144141962468,-0.000736012955561111,0.0118929512584946,0.00885372425601764,0.0148266895441472,0.127081642032906,0.0175292153589316,0,2,0.0175292153589316,0.277902093373691,0.212939550640464,-0.0142002751725,-0.158514442881592,-0.0827808017545658,0.0808065143906044,6.12807122315878,1,3,3668,30591.6498473754,0.307492060167422,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,429.531526157079,7461.50202686529,0,0,0,0,2067.58445883441,2939.1,3351.94,3854.8,1,1
D03_id_iq_step,B0,1,dynamic,reasonable_extension,1200,1,0,-0.00557307472712545,0.000187060041488057,0.0391162962691418,0.00858235413785801,0.0400467406459363,0.545938391007811,0.0267111853088481,0,1,0.0308848080133556,0.24773634583108,0.467898447426163,-0.0314420473054674,-0.0696946596519919,8.20430387046771,0.0773921959593337,1.5502472958904,1,3,4046,33744.2244499675,0.423008865036734,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,7984.18440512297,8681.77157668538,0,0,0,0,2068.77576318224,3236.2,4381.2,80862.7,1,1
D04_torque_ramp,B0,1,dynamic,normal,1200,1,0,-0.00790097172025601,0.000818233977362587,0.0264262874307413,0.0112950028676689,0.0287389240778566,0.101458772472943,0.0392320534223706,0,1,0.0392320534223706,0.15575861443464,0.176237504607945,-0.0189618942907937,-0.0302534874843921,8.73559026201825,0.0517428190907596,1.18260155208944,1,4,4334,36146.1860519424,0.635368661190158,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,12941.7876025032,12643.4640487435,0,0,0,0,2558.78714153562,4056,4780.62,6054.4,1,1
D05_torque_step,B0,1,dynamic,normal,459,0,1,-0.0159441720154354,0.00193674410807268,0.0707162173753988,0.0158236280829655,0.0724649612267382,0.571712315009716,0.0656455142231947,0,2,0.0809628008752735,0.216568289364987,0.910783141157405,NaN,NaN,NaN,NaN,NaN,0,0,1628,35544.2993755731,0.541121124710071,0,1,1250,833.333333333332,0,1.04918627163309e-24,1250,1250,833.333333333333,833.333333333333,0,0,1,6630.2850500604,11981.1111531356,0,0,0,0,2398.06956521739,3004.675,9381.10400000002,91460.7,1,1
P01_Ld_minus10,B0,1,parameter,reasonable_extension,1200,1,0,-0.00595026661322686,0.000853864652099105,0.0356731729712366,0.00854430490342832,0.0366821539187452,0.209769786761824,0.0542570951585977,0,1,0.0542570951585977,0.180274129204188,0.228851899729731,-0.0164339776902259,-0.0388105447868512,8.73143973240551,0.0550906210953613,1.35224404122421,1,3,4230,35278.811029007,0.497108091412934,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,9964.99293931009,9870.43131991741,0,0,0,0,1810.17881591119,2898,3501.88,4701.4,1,1
P02_Ld_plus10,B0,1,parameter,reasonable_extension,1200,1,0,-0.00595377581516661,0.00084653823297366,0.0329433227976771,0.0102785445333444,0.0345095783033623,0.180098818790709,0.00918196994991653,0,1,0.00918196994991653,0.187781269353384,0.241217821688243,-0.0263029626503515,-0.0549317925226308,8.7238346994577,0.0708364110790126,1.4659491286877,1,3,4146,34578.2388950977,0.495487674454766,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,9957.72389811989,9866.58989145721,0,0,0,0,2623.15374653099,4061.6,4951.16,6414.9,1,1
P03_Lq_minus10,B0,1,parameter,reasonable_extension,1200,1,0,-0.00535165070536203,0.000905381525066874,0.0251807375722958,0.0243696289032337,0.0350420940807788,0.137984159640546,0.0676126878130217,0,1,0.0676126878130217,0.183674015281378,0.234580196559793,-0.0177407322786136,-0.0426154002267822,8.72873706363463,0.0727595819857681,1.39114109945628,1,3,4186,34911.8446731497,0.481721942345552,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,8967.35422578629,9856.26516287081,0,0,0,0,1742.411933395,2760.6,3345.46,3744.7,1,1
P04_Lq_plus10,B0,1,parameter,reasonable_extension,1200,1,0,-0.00654296182603445,0.0008381848208233,0.0316348682912599,0.0210843554663954,0.038017297868716,0.151864632247863,0.0267111853088481,0,1,0.0267111853088481,0.192659650714651,0.237639735966166,-0.035321443703262,-0.0609243215444629,8.72401597757902,0.0575658031351566,1.43986877810334,1,3,4172,34795.0826508315,0.510917481325413,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,10950.9468977219,9879.38211021319,0,0,0,0,1980.57335800185,2901.5,3270.48,4643.7,1,1
P05_cross_mismatch,B0,1,parameter,reasonable_extension,1200,1,0,-0.00866576510636045,0.000792945261416794,0.0504847333351251,0.0222257143953617,0.0551605899198229,0.289159176296995,0.0626043405676127,0,1,0.0626043405676127,0.164936260586089,0.213195815226095,-0.00995995110637698,-0.0223114475337235,8.73885306849803,0.0419571930955556,1.18088617600176,1,4,4360,36363.0298076763,0.667247225295167,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,14668.6090770772,12720.0574992131,0,0,0,0,1779.8262719704,2751,3204.06,3749.6,1,1
P06_controller_high_L,B0,1,parameter,reasonable_extension,1200,1,0,-0.00633598767504989,0.000830798851613054,0.0698115671905318,0.0468314029859019,0.0840644706117042,0.352540093133155,0.0759599332220367,0,1,0.0759599332220367,0.185155893508041,0.223299632932355,-0.0596938052050619,-0.059943106055579,8.72490069961722,0.0536750029667465,1.32437198674744,1,4,4358,36346.3495187737,0.603179230055787,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,10652.9667783982,12662.3218503109,0,0,0,0,1171.24449583719,2134.6,2523.6,2917,1,1
P07_controller_low_L,B0,1,parameter,reasonable_extension,1200,1,0,-0.00948693239860684,0.000789259141695948,0.0624545720536801,0.0379329359444081,0.0730717537751139,0.324383689514716,0.01669449081803,0,1,0.01669449081803,0.161078968948481,0.222092499888806,-0.0162271019894023,-0.0312889843033654,8.7351188890534,0.0491224692306282,1.20427286248182,1,4,4318,36012.7437407216,0.687897340322971,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,15995.2121867423,12731.5859734923,0,0,0,0,1162.18344125809,2251.8,2638.16,3376.5,1,1
P08_opposed_20pct,B0,1,parameter,reasonable_extension,1200,1,0,-0.00623641062228266,0.000135422252136648,0.0470627478355962,0.0642565479969753,0.0796480143777892,0.277725481733497,0.0734557595993322,0,1,0.0734557595993322,0.190829417990465,0.243004373974842,-0.0545578318027731,-0.0634907571102309,8.23114349204443,0.0896393422186348,1.51299840195296,1,4,4248,35428.9336291305,0.553404775896544,0,0,1250,833.333333333337,0,1.24309930462384e-23,1250,1250,833.333333333333,833.333333333333,0,0,1,10412.3260317893,11402.6424957121,0,0,0,0,997.610453283996,1901,2301.9,2664.5,1,1
B01_500rpm_20A_48V_fast,B0,1,boundary,stress_test,5,0,1,-0.0424131912513948,-0.00818070144490614,0.0782276877592976,0.0108646102603559,0.0789785470129426,0.134677092221027,0,0,0,0,0.178669483875933,1.84611813640689,NaN,NaN,NaN,NaN,NaN,0,0,16,39800.9950248756,0.867621945586351,2,1,1250,833.333333333333,0,0,1250,1250,833.333333333333,833.333333333333,0,0,1,56.5128483288347,14123.8809783494,0,0,0,0,6644.8,14980.285,16217.737,16527.1,1,1
B02_500rpm_negid_48V,B0,1,boundary,stress_test,453,0,1,-0.0145298865132639,-0.000339159208363105,0.0695225477563919,0.0162085354690792,0.0713869824869506,0.343008979508087,0.0465631929046563,0,1,0.0487804878048781,0.248874392176033,0.82149209900529,NaN,NaN,NaN,NaN,NaN,0,0,1630,36060.3513118889,0.645942826042326,0,1,1250,833.333333333332,0,8.29010658156021e-25,1250,1250,833.333333333333,833.333333333333,0,0,1,9226.27114879367,14052.4260619049,0,0,0,0,778.634803921569,1205.285,1871.731,2854.9,1,1
