upstream_project,source_absolute_path,source_relative_path,file_size_bytes,modified_time,sha256,copied_to_new_project,byte_identical,destination_absolute_path,destination_relative_path,use_in_new_project
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\docs\SEQUENCE_DECOMPOSITION_REPORT.md,docs\SEQUENCE_DECOMPOSITION_REPORT.md,1133,2026-07-15T13:16:54.000,fbdf69f0f7456f2743195f1e3834f405af55100c891c1a3db45bc26996b6efc4,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\sequence_decomposition\SEQUENCE_DECOMPOSITION_REPORT.md,reference\upstream_snapshots\sequence_decomposition\SEQUENCE_DECOMPOSITION_REPORT.md,frozen evidence snapshot
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\docs\TIMING_ALIGNMENT_AUDIT.md,docs\TIMING_ALIGNMENT_AUDIT.md,3876,2026-07-15T13:11:31.000,0ad34e9819cd61f7ee292305cf2276ea77ba46ea0eb4a2d597db5c79860999ce,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\sequence_decomposition\TIMING_ALIGNMENT_AUDIT.md,reference\upstream_snapshots\sequence_decomposition\TIMING_ALIGNMENT_AUDIT.md,frozen evidence snapshot
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\results\summary\baseline_comparison.csv,results\summary\baseline_comparison.csv,804,2026-07-15T13:12:06.000,6ef4a80bb85d6d17bef701325d68d957937ec14d8596ea6fc52e56e6e4b1df12,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\sequence_decomposition\baseline_comparison.csv,reference\upstream_snapshots\sequence_decomposition\baseline_comparison.csv,frozen evidence snapshot
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\results\summary\candidate_decision_comparison.csv,results\summary\candidate_decision_comparison.csv,20698,2026-07-15T13:16:38.000,c26e6116556ce7a254686cc1cb90be27f0017cc852e70f6a741791b1a6d48f13,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\sequence_decomposition\candidate_decision_comparison.csv,reference\upstream_snapshots\sequence_decomposition\candidate_decision_comparison.csv,frozen evidence snapshot
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\results\summary\final_decision.csv,results\summary\final_decision.csv,506,2026-07-15T13:16:54.000,c62b5a43f47bc8e1ef868ce2cd19312f8d40ad596ffd943c94e0d23ad2239eb3,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\sequence_decomposition\final_decision.csv,reference\upstream_snapshots\sequence_decomposition\final_decision.csv,frozen evidence snapshot
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\results\summary\overall_metrics.csv,results\summary\overall_metrics.csv,2392,2026-07-15T13:16:39.000,42a70f927bcb0f590bfefebb9496e1fddded23cd876c26f74e24c49e4acbee95,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\sequence_decomposition\overall_metrics.csv,reference\upstream_snapshots\sequence_decomposition\overall_metrics.csv,frozen evidence snapshot
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\results\summary\residual_decomposition.csv,results\summary\residual_decomposition.csv,4396,2026-07-15T13:16:39.000,a2783aa730450f07f0c96bebb673e0c6f3eebcba3fc4473aad2f672746479b3a,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\sequence_decomposition\residual_decomposition.csv,reference\upstream_snapshots\sequence_decomposition\residual_decomposition.csv,frozen evidence snapshot
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\results\summary\simulation_case_summary.csv,results\summary\simulation_case_summary.csv,19999,2026-07-15T13:16:38.000,17dea88e85017f09b036553235dabbbd33c05d9b4b82cedfd2865a73b264aef1,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\sequence_decomposition\simulation_case_summary.csv,reference\upstream_snapshots\sequence_decomposition\simulation_case_summary.csv,frozen evidence snapshot
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\src\+zhou_feasibility\apply_feasibility_layer.m,src\+zhou_feasibility\apply_feasibility_layer.m,6165,2026-07-13T10:54:56.000,64bfb177ad96e8cd7325e28d108b25836a2b48603191cb96b38462d130395461,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\src\+zhou_feasibility\apply_feasibility_layer.m,src\+zhou_feasibility\apply_feasibility_layer.m,runtime frozen controller/plant/S2 closure
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\src\+zhou_feasibility\audit_original_illegal_cycles.m,src\+zhou_feasibility\audit_original_illegal_cycles.m,4204,2026-07-13T10:40:08.000,5881f3fd4f97f282e5bb69de625064baf22373da8f2422feb154bab5eaedf904,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\src\+zhou_feasibility\audit_original_illegal_cycles.m,src\+zhou_feasibility\audit_original_illegal_cycles.m,runtime frozen controller/plant/S2 closure
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\src\+zhou_feasibility\compare_pointwise_runs.m,src\+zhou_feasibility\compare_pointwise_runs.m,6063,2026-07-13T02:00:48.000,8aed1b040b4bcc3bee422b50f5842f8075556bd649b5da8f7c1e30d9277d1fd0,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\src\+zhou_feasibility\compare_pointwise_runs.m,src\+zhou_feasibility\compare_pointwise_runs.m,runtime frozen controller/plant/S2 closure
